count,TCTC,count_type,sample_id
,True,cfu_seed_1x,-8410830886738093451
1110,False,cfu_seed_10x,-8410830886738093451
1550,False,cfu_seed_100x,-8410830886738093451
0,False,cfu_seed_1000x,-8410830886738093451
,False,cfu_seed_1x,-8082635158398362430
,False,cfu_seed_10x,-8082635158398362430
,False,cfu_seed_100x,-8082635158398362430
,False,cfu_seed_1000x,-8082635158398362430
,True,cfu_seed_1x,4217988084104172421
1850,False,cfu_seed_10x,4217988084104172421
2080,False,cfu_seed_100x,4217988084104172421
1190,False,cfu_seed_1000x,4217988084104172421
,False,cfu_seed_1x,-6326080498156108372
,False,cfu_seed_10x,-6326080498156108372
,False,cfu_seed_100x,-6326080498156108372
,False,cfu_seed_1000x,-6326080498156108372
,True,cfu_seed_1x,1739163109203815586
,True,cfu_seed_10x,1739163109203815586
357,False,cfu_seed_100x,1739163109203815586
0,False,cfu_seed_1000x,1739163109203815586
,True,cfu_seed_1x,-7993896216112747062
,True,cfu_seed_10x,-7993896216112747062
119,False,cfu_seed_100x,-7993896216112747062
,False,cfu_seed_1000x,-7993896216112747062
4,False,cfu_seed_1x,912422539458686962
5,False,cfu_seed_10x,912422539458686962
0,False,cfu_seed_100x,912422539458686962
0,False,cfu_seed_1000x,912422539458686962
,False,cfu_seed_1x,-6799240044505548788
,False,cfu_seed_10x,-6799240044505548788
,False,cfu_seed_100x,-6799240044505548788
,False,cfu_seed_1000x,-6799240044505548788
,True,cfu_seed_1x,-1600654852348633329
,True,cfu_seed_10x,-1600654852348633329
,True,cfu_seed_100x,-1600654852348633329
595,False,cfu_seed_1000x,-1600654852348633329
,True,cfu_seed_1x,-1514690756856312492
,True,cfu_seed_10x,-1514690756856312492
,False,cfu_seed_100x,-1514690756856312492
,False,cfu_seed_1000x,-1514690756856312492
,True,cfu_seed_1x,-1808823258696834189
,True,cfu_seed_10x,-1808823258696834189
,True,cfu_seed_100x,-1808823258696834189
91700,False,cfu_seed_1000x,-1808823258696834189
,True,cfu_seed_1x,-6419119251174220447
,True,cfu_seed_10x,-6419119251174220447
,True,cfu_seed_100x,-6419119251174220447
,True,cfu_seed_1000x,-6419119251174220447
7,False,cfu_seed_1x,-5342538783317776554
5,False,cfu_seed_10x,-5342538783317776554
0,False,cfu_seed_100x,-5342538783317776554
0,False,cfu_seed_1000x,-5342538783317776554
,True,cfu_seed_1x,548770370910838247
,True,cfu_seed_10x,548770370910838247
,True,cfu_seed_100x,548770370910838247
0,False,cfu_seed_1000x,548770370910838247
,True,cfu_seed_1x,4694477504695384289
,True,cfu_seed_10x,4694477504695384289
,True,cfu_seed_100x,4694477504695384289
2980,False,cfu_seed_1000x,4694477504695384289
,True,cfu_seed_1x,8207382527812061504
,True,cfu_seed_10x,8207382527812061504
4230,False,cfu_seed_100x,8207382527812061504
6550,False,cfu_seed_1000x,8207382527812061504
,True,cfu_seed_1x,1760220277119118750
,True,cfu_seed_10x,1760220277119118750
,True,cfu_seed_100x,1760220277119118750
,True,cfu_seed_1000x,1760220277119118750
28,False,cfu_seed_1x,4483860346403570034
41,False,cfu_seed_10x,4483860346403570034
59,False,cfu_seed_100x,4483860346403570034
0,False,cfu_seed_1000x,4483860346403570034
,True,cfu_seed_1x,5979358651019855391
,True,cfu_seed_10x,5979358651019855391
,True,cfu_seed_100x,5979358651019855391
,True,cfu_seed_1000x,5979358651019855391
,True,cfu_seed_1x,-8884507119048693951
,True,cfu_seed_10x,-8884507119048693951
6010,False,cfu_seed_100x,-8884507119048693951
10100,False,cfu_seed_1000x,-8884507119048693951
,True,cfu_seed_1x,5170535434529036800
,True,cfu_seed_10x,5170535434529036800
5600,False,cfu_seed_100x,5170535434529036800
7140,False,cfu_seed_1000x,5170535434529036800
,True,cfu_seed_1x,6480184687862148372
,True,cfu_seed_10x,6480184687862148372
,True,cfu_seed_100x,6480184687862148372
,True,cfu_seed_1000x,6480184687862148372
,True,cfu_seed_1x,-7569021680481003895
,True,cfu_seed_10x,-7569021680481003895
5360,False,cfu_seed_100x,-7569021680481003895
8330,False,cfu_seed_1000x,-7569021680481003895
,True,cfu_seed_1x,336722403532911561
,True,cfu_seed_10x,336722403532911561
,True,cfu_seed_100x,336722403532911561
20200,False,cfu_seed_1000x,336722403532911561
,True,cfu_seed_1x,-3729197716446677046
,True,cfu_seed_10x,-3729197716446677046
3870,False,cfu_seed_100x,-3729197716446677046
1190,False,cfu_seed_1000x,-3729197716446677046
,True,cfu_seed_1x,-2692849047109039893
,True,cfu_seed_10x,-2692849047109039893
4760,False,cfu_seed_100x,-2692849047109039893
5950,False,cfu_seed_1000x,-2692849047109039893
,True,cfu_seed_1x,5112461689717988938
,True,cfu_seed_10x,5112461689717988938
,True,cfu_seed_100x,5112461689717988938
0,False,cfu_seed_1000x,5112461689717988938
,True,cfu_seed_1x,866380902041635944
65,False,cfu_seed_10x,866380902041635944
0,False,cfu_seed_100x,866380902041635944
