crop,seed_variety
Control,Sylvester Zenda ~𝘈HRWW
16930 WD,Sylvester Zenda ~𝘈HRWW
525 WD,Sylvester Zenda ~𝘈HRWW
17761 FP,Sylvester Zenda ~𝘈HRWW
175 FP,Sylvester Zenda ~𝘈HRWW
Control,Yerks Seed SRWW
525 WD,Yerks Seed SRWW
15890 FP,Yerks Seed SRWW
22706 FP,Yerks Seed SRWW
260 WD,Yerks Seed SRWW
28 FP,Yerks Seed SRWW
N/a,Yerks Seed SRWW
,Yerks Seed SRWW
Control,Sylvester Mint HRWW
525WD,Sylvester Mint HRWW
17761FP,Sylvester Mint HRWW
175FP,Sylvester Mint HRWW
1272 FP,Sylvester Mint HRWW
22706 FP,Sylvester Mint HRWW
17761 FP,Sylvester Mint HRWW
175 FP,Sylvester Mint HRWW
Control,Sylvester Doublestop CL+ HRWW
1272 FP,Sylvester Doublestop CL+ HRWW
22706 FP,Sylvester Doublestop CL+ HRWW
17761 FP,Sylvester Doublestop CL+ HRWW
175 FP,Sylvester Doublestop CL+ HRWW
Control,Sylvester Wolverine HRWW
1272FP,Sylvester Wolverine HRWW
22706FP,Sylvester Wolverine HRWW
17761FP,Sylvester Wolverine HRWW
175 FP,Sylvester Wolverine HRWW
Control,Sylvester Revere HRWWć
16930WD,Sylvester Revere HRWWć
525WD,Sylvester Revere HRWWć
17761FP,Sylvester Revere HRWWć
175FP,Sylvester Revere HRWWć
Control,Sylvester Langin HRWW
1272FP,Sylvester Langin HRWW
1272 FP,Sylvester Langin HRWW
22706FP,Sylvester Langin HRWW
22706 FP,Sylvester Langin
17761FP,Sylvester Langin HRWW
17761 FP,Sylvester Langin HRWW
175FP,Sylvester Langin HRWW
175 FP,Sylvester Langin HRWW
Control,Sylvester PhotonAX HRW
16930WD,Sylvester PhotonAX HRWW
525WD,Sylvester PhotonAX HRWW
17761FP,Sylvester PhotonAX HRWW
175 FP,Sylvester PhotonAX HRWW
Control,Sylvester Monument HRWW
1272 FP,Sylvester Monument HRWW
22706 FP,Sylvester Monument HRWW
17761 FP,Sylvester Monument HRWW
175 FP,Sylvester Monument HRWW
16930WD,Sylvester Bob Dole HRWW
525 WD,Sylvester Bob Dole HRWW
Control,Sylvester Bob Dole HRWW
1272 FP,Sylvester Bob Dole HRWW
22706 FP,Sylvester Bob Dole HRWW
17761 FP,Sylvester Bob Dole HRWW
175 FP,Sylvester Bob Dole HRWW
16930WD,Sylvester Monument HRWW
525WD,Sylvester Monument HRWW
17761FP,Sylvester Monument HRWW
175FP,Sylvester Monument HRWW
16930 WD,Sylvester Monument HRWW
Control,Sylvester Blend HRWW
16930 WD,Sylvester Blend HRWW
525 WD,Sylvester Blend HRWW
17761FP,Sylvester Blend HRWW
175 FP,Sylvester Blend HRWW
17761 FP,Sylvester Blend HRWW
1272FP,Sylvester Blend HRWW
22706FP,Sylvester Blend HRWW
16930 WD,Sylvester Mint HRWW
525 WD,Sylvester Mint HRWW
525 WD,Sylvester Monument HRWW
Control,Sylvester Link HRWW
16930 WD,Sylvester Link HRWW
525 WD,Sylvester Link HRWW
17761 FP,Sylvester Link HRWW
175 FP,Sylvester Link HRWW
16930WD,Sylvester Doublestop CL+ HRWW
525 WD,Sylvester Doublestop CL+ HRWW
525WD,Sylvester Doublestop CL+ HRWW
175WD,Sylvester Doublestop CL+ HRWW
1272FP,Sylvester Doublestop CL+ HRWW
175 WD,Sylvester Doublestop CL+ HRWW
16930 WD,Sylvester Bob Dole HRWW
Control,Sylvester Tam114 HRWW
1272 FP,Sylvester Tam114 HRWW
22706 FP,Sylvester Tam114 HRWW
17761 FP,Sylvester Tam114 HRWW
175 FP,Sylvester Tam114 HRWW
16930 WD,Sylvester Tam114 HRWW
525 WD,Sylvester Tam114 HRWW
Control,Sylvester Tam111 HRWW
1272 FP,Sylvester Tam111 HRWW
22706 FP,Sylvester Tam111 HRWW
17761 FP,Sylvester Tam111 HRWW
175 FP,Sylvester Tam111 HRWW
16930 WD,Sylvester Tam111 HRWW
525 WD,Sylvester Tam111 HRWW
Control,Sylvester SmithGold HRWW
1272 FP,Sylvester SmithGold HRWW
22706 FP,Sylvester SmithGold HRWW
17761 FP,Sylvester SmithGold HRWW
175 FP,Sylvester SmithGold HRWW
16930 WD,Sylvester SmithGold HRWW
525 WD,Sylvester SmithGold HRWW
16930 WD,Sylvester Tam 114 HRWW
